date,group,title,id,percent,target_date
4/1/2026,User Interfaces,Franchisee Portal,franchisee-portal,50,
4/1/2026,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,5,
4/1/2026,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,5,
4/1/2026,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
4/1/2026,User Interfaces,POS website POSHelpNOW.com,pos-website,10,
4/1/2026,Custom Apps,Manual Sales,manual-sales,10,
4/1/2026,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,10,
4/1/2026,Custom Apps,Marketing Portal,marketing-portal,5,
4/1/2026,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,5,
4/1/2026,Custom Apps,Store Locator,store-locator,0,
4/1/2026,Reporting,Franchisee Reporting,franchisee-reporting,0,
4/1/2026,Reporting,Internal Reporting,internal-reporting,0,
4/1/2026,Reporting,AD Portal functions replacement,ad-portal-functions-replacement,0,
4/1/2026,Reporting,Vendor Portal functions replacement,vendor-portal-functions-replacement,0,
4/1/2026,Reporting,Automated Reports,marketing-automated-reports,0,
4/1/2026,Data Integration,Dynamics CRM Data feed,dynamics-crm-data-feed,5,
4/1/2026,Data Integration,Raw Sales (automated POS Sales),raw-sales,10,
4/1/2026,Data Integration,Data Delivers (Focus extract),data-delivers-focus,5,
4/1/2026,Data Integration,Data Delivers (NCR Silver),data-delivers-ncr-silver,5,
4/1/2026,Data Integration,Marketing Yext Extract,yext-extract,0,
4/1/2026,CRM Processes,Store Notifications,store-notifications,20,
4/1/2026,CRM Processes,Call Logs,call-logs,25,
4/1/2026,CRM Processes,Credit/Gift cards verification,credit-gift-cards-verification,0,
4/1/2026,CRM Processes,Training Status Updates,training-status-updates,0,
4/1/2026,CRM Processes,Distribution Center Updates,distribution-center-updates,0,
4/1/2026,CRM Processes,Coop Updates,coop-updates,0,
4/1/2026,CRM Processes,Franchisee review processes,franchisee-review-processes,0,
4/1/2026,CRM Processes,FDD processes,fdd-processes,0,
4/1/2026,CRM Processes,POS team tracks POS Type in Raw Sales tool,pos-team-tracks-pos-type,0,
4/1/2026,CRM Processes,POS Fees tracking,pos-fees-tracking,0,
4/8/2026,User Interfaces,Franchisee Portal,franchisee-portal,50,
4/8/2026,User Interfaces,"Self-Service Franchisee tools (job applications, store info, etc.)",self-service-franchisee-tools,5,
4/8/2026,User Interfaces,KTEC/CreativeOnline Replacement (MediaValet?),ktec-creativeonline-replacement,15,
4/8/2026,User Interfaces,SharePoint (SP) On-Prem => SP Online,sharepoint-onprem-online,0,
4/8/2026,User Interfaces,POS website POSHelpNOW.com,pos-website,10,
4/8/2026,Custom Apps,Manual Sales,manual-sales,10,
4/8/2026,Custom Apps,Customer Feedback Mgr/APIs,customer-feedback-mgr-apis,10,
4/8/2026,Custom Apps,Marketing Portal,marketing-portal,5,
4/8/2026,Custom Apps,Readonly Long-term archive (DB02 sunset),readonly-archive,5,
4/8/2026,Custom Apps,Store Locator,store-locator,5,
