date,group,title,id,percent,target_date,phase
2026-05-06,Access & Reporting,Sales Reporting,sales-reporting,10,,1
2026-05-06,Access & Reporting,Leadership Reporting,leadership-reporting,10,,1
2026-05-06,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,10,,1
2026-05-06,Data Integration,Direct data connections,direct-data-connections,10,,1
2026-05-06,Data Integration,Finance integration,finance-integration,10,,1
2026-05-06,Data Integration,Innovation team integration,innovation-team-integration,10,,1
2026-05-06,Data Integration,Attachments,attachments,10,,1
2026-05-06,CRM Processes,FDD processes,fdd-processes,75,5/31/2026,4
2026-05-06,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,40,6/30/2026,2
2026-05-13,Access & Reporting,Sales Reporting,sales-reporting,20,,1
2026-05-13,Access & Reporting,Leadership Reporting,leadership-reporting,20,,1
2026-05-13,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,20,,1
2026-05-13,Data Integration,Direct data connections,direct-data-connections,20,,1
2026-05-13,Data Integration,Finance integration,finance-integration,20,,1
2026-05-13,Data Integration,Innovation team integration,innovation-team-integration,20,,1
2026-05-13,Data Integration,Attachments,attachments,10,,1
2026-05-13,CRM Processes,FDD processes,fdd-processes,90,5/31/2026,5
2026-05-13,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,45,6/30/2026,2
2026-05-20,Access & Reporting,Sales Reporting,sales-reporting,25,,1
2026-05-20,Access & Reporting,Leadership Reporting,leadership-reporting,25,,1
2026-05-20,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,,1
2026-05-20,Data Integration,Direct data connections,direct-data-connections,25,,2
2026-05-20,Data Integration,Finance integration,finance-integration,25,,2
2026-05-20,Data Integration,Innovation team integration,innovation-team-integration,25,,2
2026-05-20,Data Integration,Attachments,attachments,95,,2
2026-05-20,CRM Processes,FDD processes,fdd-processes,95,5/31/2026,5
2026-05-20,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,45,6/30/2026,2
2026-05-27,Access & Reporting,Sales Reporting,sales-reporting,25,,2
2026-05-27,Access & Reporting,Leadership Reporting,leadership-reporting,25,,2
2026-05-27,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,,2
2026-05-27,Data Integration,Direct data connections,direct-data-connections,35,,2
2026-05-27,Data Integration,Finance integration,finance-integration,35,,2
2026-05-27,Data Integration,Innovation team integration,innovation-team-integration,35,,2
2026-05-27,Data Integration,Attachments,attachments,95,,5
2026-05-27,CRM Processes,FDD processes,fdd-processes,95,5/31/2026,5
2026-05-27,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,45,6/30/2026,3
2026-06-03,Access & Reporting,Sales Reporting,sales-reporting,25,,2
2026-06-03,Access & Reporting,Leadership Reporting,leadership-reporting,25,,2
2026-06-03,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,,2
2026-06-03,Data Integration,Direct data connections,direct-data-connections,70,,5
2026-06-03,Data Integration,Finance integration,finance-integration,40,,3
2026-06-03,Data Integration,Innovation team integration,innovation-team-integration,40,,3
2026-06-03,Data Integration,Attachments,attachments,95,,5
2026-06-03,CRM Processes,FDD processes,fdd-processes,95,6/12/2026,5
2026-06-03,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,45,6/30/2026,3
2026-06-10,Access & Reporting,Sales Reporting,sales-reporting,25,,2
2026-06-10,Access & Reporting,Leadership Reporting,leadership-reporting,25,,2
2026-06-10,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,,2
2026-06-10,Data Integration,Direct data connections,direct-data-connections,70,,5
2026-06-10,Data Integration,Finance integration,finance-integration,40,,3
2026-06-10,Data Integration,Innovation team integration,innovation-team-integration,40,,3
2026-06-10,Data Integration,Attachments,attachments,95,,5
2026-06-10,CRM Processes,FDD processes,fdd-processes,95,6/19/2026,5
2026-06-10,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,50,8/3/2026,3
2026-06-17,Access & Reporting,Sales Reporting,sales-reporting,25,,3
2026-06-17,Access & Reporting,Leadership Reporting,leadership-reporting,25,,3
2026-06-17,Access & Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,25,,3
2026-06-17,Data Integration,Direct data connections,direct-data-connections,70,,5
2026-06-17,Data Integration,Finance integration,finance-integration,40,,3
2026-06-17,Data Integration,Innovation team integration,innovation-team-integration,40,,3
2026-06-17,Data Integration,Attachments,attachments,95,,5
2026-06-17,CRM Processes,FDD processes,fdd-processes,99,6/19/2026,5
2026-06-17,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,55,8/3/2026,3
