date,group,title,id,percent,target_date,phase
2026-05-06,Reporting,Sales Reporting,sales-reporting,10,,1
2026-05-06,Reporting,Leadership Reporting,leadership-reporting,10,,1
2026-05-06,Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,10,,1
2026-05-06,Data Integration,Direct data connections,direct-data-connections,10,,1
2026-05-06,Data Integration,Finance integration,finance-integration,10,,1
2026-05-06,Data Integration,Innovation team integration,innovation-team-integration,10,,1
2026-05-06,Data Integration,Attachments,attachments,10,,1
2026-05-06,CRM Processes,FDD processes,fdd-processes,75,5/31/2026,4
2026-05-06,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,40,6/30/2026,2
2026-05-13,Reporting,Sales Reporting,sales-reporting,20,,1
2026-05-13,Reporting,Leadership Reporting,leadership-reporting,20,,1
2026-05-13,Reporting,Accounting/ Finance Reporting,accounting-finance-reporting,20,,1
2026-05-13,Data Integration,Direct data connections,direct-data-connections,20,,1
2026-05-13,Data Integration,Finance integration,finance-integration,20,,1
2026-05-13,Data Integration,Innovation team integration,innovation-team-integration,20,,1
2026-05-13,Data Integration,Attachments,attachments,10,,1
2026-05-13,CRM Processes,FDD processes,fdd-processes,90,5/31/2026,5
2026-05-13,CRM Processes,Organization Hierarchy tracking (RLS),organization-hierarchy-tracking-rls,45,6/30/2026,2
